Page Name,Link
Facebook,https://www.facebook.com/
Home,https://www.facebook.com/
"Watch, 10 notifications",https://www.facebook.com/watch/
Marketplace,https://www.facebook.com/marketplace/?ref=app_tab
"Groups, 3 notifications",https://www.facebook.com/groups/
Gaming,https://www.facebook.com/gaming/?ref=games_tab
More,https://www.facebook.com/bookmarks/
"Notifications, 1 unread",https://www.facebook.com/notifications/
See All in Messenger,https://www.facebook.com/messages/t/
New message,https://www.facebook.com/messages/t/new/
বিদ্যুৎ মৎস্য নার্সারি এন্ড সাপ্লাইয়ার,https://www.facebook.com/%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A7%8E-%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%B8%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0-112549223914068/
মৎস্য চাষ ও প্রযুক্তি,https://www.facebook.com/AquaAndTech/
ইফতি মৎস্য হ্যাচারি  এন্ড নার্সারি,https://www.facebook.com/%E0%A6%87%E0%A6%AB%E0%A6%A4%E0%A6%BF-%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%B9%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF-103749591562231/
মৎস্য চাষ বাংলাদেশ,https://www.facebook.com/Fishingmedi/
কৃষি পণ্য এগ্রো এন্ড নার্সারি,https://www.facebook.com/Agrofirmbd24/
ইউনিয়ন পর্যায়ে মৎস্য চাষ প্রযুক্তি সেবা সম্প্রসারণ প্রকল্প- ২য় পর্যায়,https://www.facebook.com/unionfisheries.gov.bd/
বাবুল মৎস্য নার্সারি বাংলাদেশ,https://www.facebook.com/%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A7%81%E0%A6%B2-%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-105007444657752/
ইফাডাপ একুয়া লি: মৎস্য চাষ ও হ্যাচারি,https://www.facebook.com/efadapbd/
"নাটোর আধুনিক মৎস্য  চাষ  প্রকল্প লিমিটেড , নাটোর  ।",https://www.facebook.com/natore.14568/
মাহিরা মৎস্য হ্যাচারী ও নার্সারি,https://www.facebook.com/Fishmarkedbd/
রিয়াদ মৎস্য ফিশারীজ ও নার্সারী,https://www.facebook.com/fishinglifebd/
জাহিদ মৎস্য নার্সারি,https://www.facebook.com/%E0%A6%9C%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A6-%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF-355755572181346/
ময়মনসিংহ মৎস্য হ্যাচারী,https://www.facebook.com/mymensinghfish/
মৎস্য চাষ বাংলাদেশ,https://www.facebook.com/fishfarming12/
মৎস্য চাষ,https://www.facebook.com/%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%9A%E0%A6%BE%E0%A6%B7-1910108165869141/
Comilla Fisheries Project - কুমিল্লা মৎস্য চাষ প্রকল্প,https://www.facebook.com/Comilla.fp/
শাপলা মৎস্য হ্যাচারি,https://www.facebook.com/Shapla111/
সন্ধি মৎস্য হ্যাচারী,https://www.facebook.com/%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%BF-%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%B9%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A7%80-105087621239640/
মৎস্য চাষ বিষয়ক সেবা ও পরামর্শ কেন্দ্র,https://www.facebook.com/%E0%A6%AE%E0%A7%8E%E0%A6%B8%E0%A7%8D%E0%A6%AF-%E0%A6%9A%E0%A6%BE%E0%A6%B7-%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%9F%E0%A6%95-%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%BE-%E0%A6%93-%E0%A6%AA%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%B0%E0%A7%8D%E0%A6%B6-%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0-1570929349642581/
