Title,Publish Date,View Count,Like Count,Dislike Count
বায়োফ্লক প্রযুক্তিতে মাছ চাষ : ৪ মাসে ১০টি ট্যাংক থেকে ১০ লক্ষ টাকার বেশি আয় ! Biofloc fish farming,12-Sep-19,"2,311,534",28K,1.7K
Biofloc নয় কেঁচো সারেই  হবে মাছচাষ without oxygen | catfish কই মাগুর শিং মাছ চাষ | পুকুরে বায়োফ্লক,28-Sep-20,"51,675",1.3K,66
বায়োফ্লক পদ্ধতিতে মাছ চাষ প্রশিক্ষণ -পর্ব-১ | বায়োফ্লোক কি? কি কি করা জরুরি? Biofloc Fish Farming,13-Feb-20,"86,363",2K,75
দেশী মাগুর মাছ চাষের নিয়ম || Deshi Magur Catfish farming || Magur Biofloc Fish farming || Catfish ||,27-May-21,"2,490",61,0
বায়োফ্লক ট্যাংক তৈরি খরচ কত ? | বায়োফ্লক পদ্ধতিতে মাছ চাষ | Biofloc fish farming in bangladesh,17-Sep-20,"228,974",4.3K,179
বায়োফ্লক পদ্ধতিতে ৩০ লাখ লিটার পানিতে কোটি টাকার মাছ | Biofloc | Shykh Seraj | Channel i |,21-Sep-20,"1,805,159",34K,1.3K
"Biofloc fish farming , Episode 05,  project update, Bangotube সাবধান ভুলেও বায়োফ্লকে বিনিয়োগ নায়",19-Jan-21,"12,225",179,77
"বায়োফ্লক মাছ চাষ, এক তরুণের সাফল্যের গল্প || biofloc fish farming in bangladesh",18-Oct-20,"3,632",89,2
এক মৌসুমে বায়োফ্লক পদ্ধতিতে তাক লাগানো মাছ উৎপাদন | Biofloc Fishing | Shykh Seraj | Channel i |,8-Dec-19,"5,305,313",63K,3.5K
biofloc online training - 1 | biofloc fish farming | biofloc fish farming in bangladesh | bd biofloc,31-Jan-20,"501,615",21K,702
ভারতের বিশাল এক বায়োফ্লক ফিশফারমিং যেখানে বিনামূল্যে এডভাইস পেয়ে যাবেন // Biofloc Fish Farming,19-Jan-21,"193,024",4K,165
বায়োফ্লক প্রযুক্তিতে অল্পদিনেই মাছ চাষে অসামান্য সাফল্যের নজির | Biofloc | Shykh Seraj | Channel i |,9-Nov-20,"180,767",5.7K,368
বায়োফ্লকে এক মৌসুমে এত বড় এত মাছ উৎপাদন ! Biofloc Fish Harvest in Bangladesh | Fish Farming,20-Aug-20,"130,939",3.3K,229
ভিয়েতনামি শোল মাছ | বায়োফ্লক এর ভবিষ্যৎ কি | বায়োফ্লক করে কি অবস্থা | biofloc fish farming,9-Jun-21,334,14,0
বায়োফ্লক প্রযুক্তিতে মাছ উৎপাদনের বিরল নজির | Biofloc | Shykh Seraj | Channel i |,21-Jul-19,"801,101",13K,524
বায়োফ্লকে মাছ চাষ করে লাভবান দুই তরুণ || biofloc fish farming,4-Apr-21,892,11,0
জন্ম নিবন্ধন অনলাইন করার নিয়ম | জন্ম নিবন্ধন আবেদন ২০২১ | birth certificate apply online,21-May-21,"132,129",3.8K,134
ঢাকার ছাদে চাষ হচ্ছে পৃথিবীর সবচেয়ে দামি আম মিয়াজাকি | Shykh Seraj | Channel i |,7-Jun-21,"2,602,210",45K,2K
ছাদের উপরে বায়োফ্লক || 2000 লি: বায়োফ্লোক ট্যাংক || 770 টাকার বায়োফ্লোক ট্যাংক।,11-Oct-19,"1,315,646",18K,1K
জানুন খুব ছোট মাছ কি ভাবে ট্যাংকে ছারবেন যাতে মর্টালিটি হবে জিরো- Horn fish zero percent mortality,16-Feb-21,"50,235",1.2K,53
বায়োফ্লোক পদ্ধতিতে মাছ চাষ আসলেই কি লাখ টাকা আয় হয় | Biofloc fish farming training in bangladesh,10-Mar-20,"117,555",2.2K,127
বায়োফ্লকে শিং মাছ চাষ করে ফকির হবেন না | biofloc fish farming | biofloc bangladesh,"Premiered Jun 13, 2021",488,18,2
বায়োফ্লকের এয়ারেশন সিস্টেম অত্যাধুনিক সংযোজন। Disk Diffuser Aeration System For Biofloc Fish Farming,26-Aug-20,"6,165",158,7
biofloc পদ্ধতিতে মাগুর মাছ চাষ । 10-06-2021,11-Jun-21,772,22,0
বায়োফ্লক নিয়ে মৎস্য বিজ্ঞানীর পরামর্শ | SER-E-BANGLA AGRICULTURAL UNIVERSITY BIOFLOC LAB | পর্ব ১ |,21-Feb-21,"22,202",649,18
biofloc fish farming বায়োফ্লোকে কই মাছের লাভ লোকসানের হিসাব Profit loss calculation of bioflock fis,4-Nov-20,"1,043",45,5
বায়োফ্লক শুরু করতে কি কি প্রয়োজন || Biofloc Fish Farming Item Price in BD|| Air Pump,8-Jun-20,"259,254",6.1K,333
